order_id,payment_id,customer_reference,amount,currency,transaction_date,status,refund_amount
ORD0088,PAY0088,CUST-ORD0088-1027,2697.0,INR,2024-07-14,SUCCESS,0.0
ORD0089,PAY0089,CUST-ORD0089-4228,46316.0,INR,2024-07-18,REFUNDED,46316.0
ORD0090,PAY0090,CUST-ORD0090-6409,3964.0,INR,2024-07-22,SUCCESS,0.0
ORD0091,PAY0091,CUST-ORD0091-3041,16039.0,INR,2024-07-28,SUCCESS,0.0
ORD0092,PAY0092,CUST-ORD0092-7691,45052.0,INR,2024-07-17,PARTIALLY_REFUNDED,11472.0
ORD0093,PAY0093,CUST-ORD0093-7888,35012.0,INR,2024-07-18,PARTIALLY_REFUNDED,5730.0
ORD0094,PAY0094,CUST-ORD0094-3851,34027.0,INR,2024-07-29,SUCCESS,0.0
ORD0095,PAY0095,CUST-ORD0095-9977,28671.0,INR,2024-07-13,SUCCESS,0.0
ORD0096,PAY0096,CUST-ORD0096-5700,41769.0,INR,2024-07-10,SUCCESS,0.0
ORD0097,PAY0097,CUST-ORD0097-6279,10904.0,INR,2024-07-26,SUCCESS,0.0
ORD0098,PAY0098,CUST-ORD0098-4501,22368.0,INR,2024-07-22,FAILED,0.0
ORD0099,PAY0099,CUST-ORD0099-3780,25803.0,INR,2024-07-26,PARTIALLY_REFUNDED,14207.0
ORD0100,PAY0100,CUST-ORD0100-6491,14547.0,INR,2024-07-22,SUCCESS,0.0
